seed,scenario,contamination,delay,static_f1,adaptive_f1,delta,static_macro,adaptive_macro,static_fpr,adaptive_fpr,events,accepted_feedback,false_adaptations,feedback_contamination,recovery_windows,drift_threshold,confidence_threshold,trigger_drift,trigger_conf
42,static,0.0,1,0.8800696257615318,0.8800696257615318,0.0,0.8590712406128458,0.8590712406128458,0.1085,0.1085,0,0,0,0.0,,0.09443437418763684,0.8406797008852273,0,0
42,static,0.0,5,0.8800696257615318,0.8800696257615318,0.0,0.8590712406128458,0.8590712406128458,0.1085,0.1085,0,0,0,0.0,,0.09443437418763684,0.8406797008852273,0,0
42,static,0.4,1,0.8800696257615318,0.8800696257615318,0.0,0.8590712406128458,0.8590712406128458,0.1085,0.1085,0,0,0,0.0,,0.09443437418763684,0.8406797008852273,0,0
42,static,0.4,5,0.8800696257615318,0.8800696257615318,0.0,0.8590712406128458,0.8590712406128458,0.1085,0.1085,0,0,0,0.0,,0.09443437418763684,0.8406797008852273,0,0
42,gradual,0.0,1,0.7869532428355958,0.807193177604746,0.020239934769150203,0.7731614595779341,0.7907003664836583,0.1085,0.1085,7,1750,0,0.0,4.0,0.09443437418763684,0.8406797008852273,7,7
42,gradual,0.0,5,0.7869532428355958,0.7942278860569715,0.007274643221375721,0.7731614595779341,0.7794038229598751,0.1085,0.1085,7,1750,0,0.0,5.0,0.09443437418763684,0.8406797008852273,7,7
42,gradual,0.4,1,0.7869532428355958,0.7860377358490566,-0.000915506986539194,0.7731614595779341,0.7723805700521879,0.1085,0.1085,9,2250,0,0.3928888888888889,4.0,0.09443437418763684,0.8406797008852273,9,9
42,gradual,0.4,5,0.7869532428355958,0.7960329341317365,0.009079691296140724,0.7731614595779341,0.7809632024610573,0.1085,0.1085,8,2000,0,0.3905,4.0,0.09443437418763684,0.8406797008852273,8,8
42,abrupt,0.0,1,0.642043056141832,0.642043056141832,0.0,0.659866073870992,0.659866073870992,0.1085,0.1085,0,0,0,0.0,,0.09443437418763684,0.8406797008852273,0,0
42,abrupt,0.0,5,0.642043056141832,0.642043056141832,0.0,0.659866073870992,0.659866073870992,0.1085,0.1085,0,0,0,0.0,,0.09443437418763684,0.8406797008852273,0,0
42,abrupt,0.4,1,0.642043056141832,0.642043056141832,0.0,0.659866073870992,0.659866073870992,0.1085,0.1085,0,0,0,0.0,,0.09443437418763684,0.8406797008852273,0,0
42,abrupt,0.4,5,0.642043056141832,0.642043056141832,0.0,0.659866073870992,0.659866073870992,0.1085,0.1085,0,0,0,0.0,,0.09443437418763684,0.8406797008852273,0,0
42,oscillating,0.0,1,0.7641183250096043,0.7858086431402151,0.02169031813061084,0.7539823998848605,0.7721853256118008,0.1085,0.1085,6,1500,0,0.0,2.0,0.09443437418763684,0.8406797008852273,6,6
42,oscillating,0.0,5,0.7641183250096043,0.7726058756199924,0.008487550610388084,0.7539823998848605,0.7610402223833463,0.1085,0.1085,6,1500,0,0.0,2.0,0.09443437418763684,0.8406797008852273,6,6
42,oscillating,0.4,1,0.7641183250096043,0.7624543181381035,-0.0016640068715008116,0.7539823998848605,0.7526081213685727,0.1085,0.1085,7,1750,0,0.3931428571428571,2.0,0.09443437418763684,0.8406797008852273,7,7
42,oscillating,0.4,5,0.7641183250096043,0.7626923076923077,-0.001426017317296635,0.7539823998848605,0.7528044871794872,0.1085,0.1085,8,2000,0,0.384,2.0,0.09443437418763684,0.8406797008852273,8,8
42,stealth,0.0,1,0.3028224742811923,0.42187883247485897,0.11905635819366667,0.4385750316324628,0.5119692997424101,0.1085,0.1085,11,2750,0,0.0,0.0,0.09443437418763684,0.8406797008852273,11,11
