seed,scenario,policy,contamination,delay,static_attack_f1,adaptive_attack_f1,delta,events,accepted_feedback,false_adaptations,threshold
42,static,static,0.0,1,0.8800696257615318,0.8800696257615318,0.0,0,0,0,0.09462381143491583
42,static,drift,0.0,1,0.8800696257615318,0.8860803324099723,0.0060107066484405,12,3000,0,0.09462381143491583
42,static,anchor_replay,0.0,1,0.8800696257615318,0.8872362504323763,0.007166624670844501,12,2564,0,0.09462381143491583
42,static,static,0.0,3,0.8800696257615318,0.8800696257615318,0.0,0,0,0,0.09462381143491583
42,static,drift,0.0,3,0.8800696257615318,0.8831800034716195,0.0031103777100877084,12,3000,0,0.09462381143491583
42,static,anchor_replay,0.0,3,0.8800696257615318,0.8833738285317598,0.0033042027702280263,12,2558,0,0.09462381143491583
42,static,static,0.0,5,0.8800696257615318,0.8800696257615318,0.0,0,0,0,0.09462381143491583
42,static,drift,0.0,5,0.8800696257615318,0.881432545201669,0.0013629194401372224,12,3000,0,0.09462381143491583
42,static,anchor_replay,0.0,5,0.8800696257615318,0.8802645318482423,0.00019490608671046683,12,2555,0,0.09462381143491583
42,static,static,0.4,1,0.8800696257615318,0.8800696257615318,0.0,0,0,0,0.09462381143491583
42,static,drift,0.4,1,0.8800696257615318,0.8700386371619249,-0.010030988599606938,12,3000,0,0.09462381143491583
42,static,anchor_replay,0.4,1,0.8800696257615318,0.8839549002601909,0.0038852744986590526,12,1775,0,0.09462381143491583
42,static,static,0.4,3,0.8800696257615318,0.8800696257615318,0.0,0,0,0,0.09462381143491583
42,static,drift,0.4,3,0.8800696257615318,0.8728100911002102,-0.007259534661321565,12,3000,0,0.09462381143491583
42,static,anchor_replay,0.4,3,0.8800696257615318,0.8820156385751521,0.0019460128136202792,12,1766,0,0.09462381143491583
42,static,static,0.4,5,0.8800696257615318,0.8800696257615318,0.0,0,0,0,0.09462381143491583
42,static,drift,0.4,5,0.8800696257615318,0.8743876836948915,-0.0056819420666403,12,3000,0,0.09462381143491583
42,static,anchor_replay,0.4,5,0.8800696257615318,0.8806541405706333,0.0005845148091014885,12,1757,0,0.09462381143491583
42,gradual,static,0.0,1,0.7869532428355958,0.7869532428355958,0.0,0,0,0,0.09462381143491583
42,gradual,drift,0.0,1,0.7869532428355958,0.805421463052358,0.0184682202167622,12,3000,0,0.09462381143491583
42,gradual,anchor_replay,0.0,1,0.7869532428355958,0.8018621973929236,0.01490895455732788,12,2135,0,0.09462381143491583
42,gradual,static,0.0,3,0.7869532428355958,0.7869532428355958,0.0,0,0,0,0.09462381143491583
42,gradual,drift,0.0,3,0.7869532428355958,0.7989546387903678,0.01200139595477201,12,3000,0,0.09462381143491583
42,gradual,anchor_replay,0.0,3,0.7869532428355958,0.7935495968498031,0.0065963540142073285,12,2085,0,0.09462381143491583
42,gradual,static,0.0,5,0.7869532428355958,0.7869532428355958,0.0,0,0,0,0.09462381143491583
42,gradual,drift,0.0,5,0.7869532428355958,0.792644023268906,0.005690780433310283,12,3000,0,0.09462381143491583
42,gradual,anchor_replay,0.0,5,0.7869532428355958,0.7855794639486599,-0.0013737788869359058,12,2070,0,0.09462381143491583
42,gradual,static,0.4,1,0.7869532428355958,0.7869532428355958,0.0,0,0,0,0.09462381143491583
42,gradual,drift,0.4,1,0.7869532428355958,0.7862667421241275,-0.000686500711468252,12,3000,0,0.09462381143491583
42,gradual,anchor_replay,0.4,1,0.7869532428355958,0.7915101427498121,0.004556899914216372,12,1668,0,0.09462381143491583
42,gradual,static,0.4,3,0.7869532428355958,0.7869532428355958,0.0,0,0,0,0.09462381143491583
42,gradual,drift,0.4,3,0.7869532428355958,0.79082879158053,0.003875548744934232,12,3000,0,0.09462381143491583
42,gradual,anchor_replay,0.4,3,0.7869532428355958,0.7878673700075358,0.0009141271719400601,12,1688,0,0.09462381143491583
42,gradual,static,0.4,5,0.7869532428355958,0.7869532428355958,0.0,0,0,0,0.09462381143491583
42,gradual,drift,0.4,5,0.7869532428355958,0.7944538130035601,0.007500570167964349,12,3000,0,0.09462381143491583
42,gradual,anchor_replay,0.4,5,0.7869532428355958,0.7862667421241275,-0.000686500711468252,12,1654,0,0.09462381143491583
42,abrupt,static,0.0,1,0.642043056141832,0.642043056141832,0.0,0,0,0,0.09462381143491583
42,abrupt,drift,0.0,1,0.642043056141832,0.767905017234776,0.125861961092944,12,3000,0,0.09462381143491583
42,abrupt,anchor_replay,0.0,1,0.642043056141832,0.6709357570749845,0.02889270093315255,12,1800,0,0.09462381143491583
42,abrupt,static,0.0,3,0.642043056141832,0.642043056141832,0.0,0,0,0,0.09462381143491583
42,abrupt,drift,0.0,3,0.642043056141832,0.7036066895023172,0.061563633360485204,12,3000,0,0.09462381143491583
42,abrupt,anchor_replay,0.0,3,0.642043056141832,0.6531295792338287,0.011086523091996758,12,2121,0,0.09462381143491583
42,abrupt,static,0.0,5,0.642043056141832,0.642043056141832,0.0,0,0,0,0.09462381143491583
42,abrupt,drift,0.0,5,0.642043056141832,0.6417563858982478,-0.00028667024358419724,12,3000,0,0.09462381143491583
42,abrupt,anchor_replay,0.0,5,0.642043056141832,0.6423296054019836,0.00028654926015159177,12,2483,0,0.09462381143491583
42,abrupt,static,0.4,1,0.642043056141832,0.642043056141832,0.0,0,0,0,0.09462381143491583
42,abrupt,drift,0.4,1,0.642043056141832,0.6893460990018334,0.04730304286000142,12,3000,0,0.09462381143491583
42,abrupt,anchor_replay,0.4,1,0.642043056141832,0.6423296054019836,0.00028654926015159177,12,1536,0,0.09462381143491583
42,abrupt,static,0.4,3,0.642043056141832,0.642043056141832,0.0,0,0,0,0.09462381143491583
42,abrupt,drift,0.4,3,0.642043056141832,0.6626480981085013,0.020605041966669346,12,3000,0,0.09462381143491583
42,abrupt,anchor_replay,0.4,3,0.642043056141832,0.6460437710437711,0.004000714901939095,12,1651,0,0.09462381143491583
42,abrupt,static,0.4,5,0.642043056141832,0.642043056141832,0.0,0,0,0,0.09462381143491583
42,abrupt,drift,0.4,5,0.642043056141832,0.6394586593360119,-0.0025843968058201217,12,3000,0,0.09462381143491583
42,abrupt,anchor_replay,0.4,5,0.642043056141832,0.6423296054019836,0.00028654926015159177,12,1749,0,0.09462381143491583
42,oscillating,static,0.0,1,0.7641183250096043,0.7641183250096043,0.0,0,0,0,0.09462381143491583
42,oscillating,drift,0.0,1,0.7641183250096043,0.7812085622276946,0.01709023721809033,12,3000,0,0.09462381143491583
42,oscillating,anchor_replay,0.0,1,0.7641183250096043,0.7805155420773313,0.01639721706772701,12,2181,0,0.09462381143491583
42,oscillating,static,0.0,3,0.7641183250096043,0.7641183250096043,0.0,0,0,0,0.09462381143491583
