seed,scenario,contamination,delay,static_attack_f1,adaptive_attack_f1,delta,events
42,static,0.0,1,0.8863518422418267,0.8863518422418267,0.0,0
42,static,0.0,3,0.8863518422418267,0.8863518422418267,0.0,0
42,static,0.0,5,0.8863518422418267,0.8863518422418267,0.0,0
42,static,0.2,1,0.8863518422418267,0.8863518422418267,0.0,0
42,static,0.2,3,0.8863518422418267,0.8863518422418267,0.0,0
42,static,0.2,5,0.8863518422418267,0.8863518422418267,0.0,0
42,static,0.4,1,0.8863518422418267,0.8863518422418267,0.0,0
42,static,0.4,3,0.8863518422418267,0.8863518422418267,0.0,0
42,static,0.4,5,0.8863518422418267,0.8863518422418267,0.0,0
42,static,0.5,1,0.8863518422418267,0.8863518422418267,0.0,0
42,static,0.5,3,0.8863518422418267,0.8863518422418267,0.0,0
42,static,0.5,5,0.8863518422418267,0.8863518422418267,0.0,0
42,gradual,0.0,1,0.8178479618068307,0.8178479618068307,0.0,0
42,gradual,0.0,3,0.8178479618068307,0.8178479618068307,0.0,0
42,gradual,0.0,5,0.8178479618068307,0.8178479618068307,0.0,0
42,gradual,0.2,1,0.8178479618068307,0.8178479618068307,0.0,0
42,gradual,0.2,3,0.8178479618068307,0.8178479618068307,0.0,0
42,gradual,0.2,5,0.8178479618068307,0.8178479618068307,0.0,0
42,gradual,0.4,1,0.8178479618068307,0.8178479618068307,0.0,0
42,gradual,0.4,3,0.8178479618068307,0.8178479618068307,0.0,0
42,gradual,0.4,5,0.8178479618068307,0.8178479618068307,0.0,0
42,gradual,0.5,1,0.8178479618068307,0.8178479618068307,0.0,0
42,gradual,0.5,3,0.8178479618068307,0.8178479618068307,0.0,0
42,gradual,0.5,5,0.8178479618068307,0.8178479618068307,0.0,0
42,abrupt,0.0,1,0.6423450021088148,0.8163265306122449,0.17398152850343007,6
42,abrupt,0.0,3,0.6423450021088148,0.7418409224154778,0.09949592030666299,6
42,abrupt,0.0,5,0.6423450021088148,0.6562304320601127,0.013885429951297823,6
42,abrupt,0.2,1,0.6423450021088148,0.7711395304447414,0.12879452833592653,6
42,abrupt,0.2,3,0.6423450021088148,0.7142001198322349,0.07185511772342001,6
42,abrupt,0.2,5,0.6423450021088148,0.6457719814892722,0.003426979380457329,6
42,abrupt,0.4,1,0.6423450021088148,0.7159952134024731,0.07365021129365823,6
42,abrupt,0.4,3,0.6423450021088148,0.6698347107438016,0.027489708634986787,6
42,abrupt,0.4,5,0.6423450021088148,0.63108654050606,-0.011258461602754899,6
42,abrupt,0.5,1,0.6423450021088148,0.6930572472594397,0.05071224515062489,6
42,abrupt,0.5,3,0.6423450021088148,0.6505973590442256,0.00825235693541071,6
42,abrupt,0.5,5,0.6423450021088148,0.6287539936102237,-0.013591008498591184,6
42,oscillating,0.0,1,0.8064516129032258,0.8064516129032258,0.0,0
42,oscillating,0.0,3,0.8064516129032258,0.8064516129032258,0.0,0
42,oscillating,0.0,5,0.8064516129032258,0.8064516129032258,0.0,0
42,oscillating,0.2,1,0.8064516129032258,0.8064516129032258,0.0,0
42,oscillating,0.2,3,0.8064516129032258,0.8064516129032258,0.0,0
42,oscillating,0.2,5,0.8064516129032258,0.8064516129032258,0.0,0
42,oscillating,0.4,1,0.8064516129032258,0.8064516129032258,0.0,0
42,oscillating,0.4,3,0.8064516129032258,0.8064516129032258,0.0,0
42,oscillating,0.4,5,0.8064516129032258,0.8064516129032258,0.0,0
42,oscillating,0.5,1,0.8064516129032258,0.8064516129032258,0.0,0
42,oscillating,0.5,3,0.8064516129032258,0.8064516129032258,0.0,0
42,oscillating,0.5,5,0.8064516129032258,0.8064516129032258,0.0,0
42,stealth,0.0,1,0.2850293020777837,0.5847438997581886,0.2997145976804049,11
42,stealth,0.0,3,0.2850293020777837,0.5434389140271493,0.25840961194936557,9
42,stealth,0.0,5,0.2850293020777837,0.4851764705882353,0.2001471685104516,7
42,stealth,0.2,1,0.2850293020777837,0.47259786476868326,0.18756856269089955,11
42,stealth,0.2,3,0.2850293020777837,0.44792671166827386,0.16289740959049015,9
42,stealth,0.2,5,0.2850293020777837,0.4146761881310022,0.1296468860532185,7
42,stealth,0.4,1,0.2850293020777837,0.38929196897673257,0.10426266689894886,11
42,stealth,0.4,3,0.2850293020777837,0.369713851608002,0.08468454953021831,9
42,stealth,0.4,5,0.2850293020777837,0.35555555555555557,0.07052625347777186,7
42,stealth,0.5,1,0.2850293020777837,0.34668721109399075,0.061657909016207046,11
42,stealth,0.5,3,0.2850293020777837,0.3334196220553974,0.04839031997761367,9
